NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Madhya Pradesh,Shivpuri,3861.0,14.2,32.45,17.05
Madhya Pradesh,Sidhi,3859.0,27.833333333333332,42.21666666666667,29.95
Madhya Pradesh,Singrauli,3785.0,30.725,51.875,17.4
Madhya Pradesh,Tikamgarh,3780.0,15.283333333333333,28.7,19.716666666666665
Madhya Pradesh,Ujjain,3861.0,14.2,32.45,17.05
Madhya Pradesh,Umaria,3859.0,27.833333333333332,42.21666666666667,29.95
Madhya Pradesh,Vidisha,3861.0,14.2,32.45,17.05
Madhya Pradesh,West Nimar,3861.0,14.2,32.45,17.05
Maharashtra,Ahmadnagar,3861.0,14.2,32.45,17.05
Maharashtra,Akola,3861.0,14.2,32.45,17.05
Maharashtra,Amravati,3861.0,14.2,32.45,17.05
Maharashtra,Aurangabad,3861.0,14.2,32.45,17.05
Maharashtra,Bhandara,3861.0,14.2,32.45,17.05
Maharashtra,Bid,3861.0,14.2,32.45,17.05
Maharashtra,Buldana,3861.0,14.2,32.45,17.05
Maharashtra,Chandrapur,3866.0,21.0,53.1,25.9
Maharashtra,Dhule,3861.0,14.2,32.45,17.05
Maharashtra,Garhchiroli,3714.0,30.366666666666667,18.066666666666666,15.266666666666667
Maharashtra,Gondiya,3861.0,14.2,32.45,17.05
Maharashtra,Hingoli,3861.0,14.2,32.45,17.05
Maharashtra,Jalgaon,3861.0,14.2,32.45,17.05
Maharashtra,Jalna,3861.0,14.2,32.45,17.05
Maharashtra,Kolhapur,3656.0,25.95,23.85,13.9
Maharashtra,Latur,3861.0,14.2,32.45,17.05
Maharashtra,Mumbai City,3756.0,40.38,30.05,29.57
Maharashtra,Mumbai Suburban,3756.0,40.38,30.05,29.57
Maharashtra,Nagpur,3861.0,14.2,32.45,17.05
Maharashtra,Nanded,3861.0,14.2,32.45,17.05
Maharashtra,Nandurbar,3697.0,26.29,30.79,21.14
Maharashtra,Nashik,3861.0,14.2,32.45,17.05
Maharashtra,Osmanabad,3861.0,14.2,32.45,17.05
Maharashtra,Palghar,6669.0,40.18333333333333,39.35,20.466666666666665
Maharashtra,Parbhani,3861.0,14.2,32.45,17.05
Maharashtra,Pune,3711.0,27.95,25.4875,19.3375
Maharashtra,Raigarh,6669.0,40.18333333333333,39.35,20.466666666666665
Maharashtra,Ratnagiri,3818.0,30.525,27.5625,14.6875
Maharashtra,Sangli,3861.0,14.2,32.45,17.05
Maharashtra,Satara,3820.0,37.725,39.55,22.725
Maharashtra,Sindhudurg,3818.0,30.525,27.5625,14.6875
Maharashtra,Solapur,3861.0,14.2,32.45,17.05
Maharashtra,Thane,6669.0,40.18333333333333,39.35,20.466666666666665
Maharashtra,Wardha,3861.0,14.2,32.45,17.05
Maharashtra,Washim,3861.0,14.2,32.45,17.05
Maharashtra,Yavatmal,3861.0,14.2,32.45,17.05
Manipur,Bishnupur,4331.0,44.766666666666666,32.9,22.333333333333332
Manipur,Chandel,4301.0,18.9375,19.0,10.6375
Manipur,Churachandpur,4301.0,18.9375,19.0,10.6375
Manipur,Imphal East,4276.0,23.8125,30.45,18.5125
Manipur,Imphal West,4276.0,23.8125,30.45,18.5125
Manipur,Senapati,4276.0,23.8125,30.45,18.5125
Manipur,Tamenglong,4301.0,18.9375,19.0,10.6375
Manipur,Thoubal,4276.0,23.8125,30.45,18.5125
Manipur,Ukhrul,4301.0,18.9375,19.0,10.6375
Meghalaya,East Garo Hills,3814.0,33.425,43.825,22.75
Meghalaya,East Khasi Hills,3649.0,40.833333333333336,29.433333333333334,29.733333333333334
Meghalaya,Jaintia Hills,3646.0,32.15,42.03333333333333,25.816666666666666
Meghalaya,North Garo Hills,3814.0,33.425,43.825,22.75
Meghalaya,Ri Bhoi,3647.0,36.95,40.78333333333333,22.266666666666666
Meghalaya,South Garo Hills,3814.0,33.425,43.825,22.75
Meghalaya,South West Garo Hills,3707.0,34.45,34.78,30.77
Meghalaya,South West Khasi Hills,3647.0,36.95,40.78333333333333,22.266666666666666
Meghalaya,West Garo Hills,3814.0,33.425,43.825,22.75
Meghalaya,West Khasi Hills,3647.0,36.95,40.78333333333333,22.266666666666666
Mizoram,Aizawl,4301.0,18.9375,19.0,10.6375
Mizoram,Champhai,4301.0,18.9375,19.0,10.6375
Mizoram,Kolasib,3665.0,32.4375,24.1625,16.175
Mizoram,Lawangtlai,3665.0,32.4375,24.1625,16.175
Mizoram,Lunglei,3665.0,32.4375,24.1625,16.175
Mizoram,Mamit,3665.0,32.4375,24.1625,16.175
Mizoram,Saiha,4301.0,18.9375,19.0,10.6375
Mizoram,Serchhip,4301.0,18.9375,19.0,10.6375
Nagaland,Dimapur,4276.0,23.8125,30.45,18.5125
Nagaland,Kiphire,4276.0,23.8125,30.45,18.5125
Nagaland,Kohima,4276.0,23.8125,30.45,18.5125
Nagaland,Longleng,4276.0,23.8125,30.45,18.5125
Nagaland,Mokokchung,4276.0,23.8125,30.45,18.5125
Nagaland,Mon,4276.0,23.8125,30.45,18.5125
Nagaland,Peren,4276.0,23.8125,30.45,18.5125
Nagaland,Phek,4276.0,23.8125,30.45,18.5125
Nagaland,Tuensang,4276.0,23.8125,30.45,18.5125
Nagaland,Wokha,4276.0,23.8125,30.45,18.5125
Nagaland,Zunheboto,4276.0,23.8125,30.45,18.5125
NCT of Delhi,West,7001.0,-9.0,-9.0,-9.0
